"","x"
"1","TWIST1"
"2","GSC"
"3","FOXC2"
"4","PAK1"
"5","SNAI1"
"6","VIM"
"7","ZEB1"
"8","SMAD2"
"9","SMAD3"
"10","TJP1"
"11","CDH1"
